,order_id,customer_id,order_date,status,line_revenue,payment_type,payment_avg
0,5521,1863,2025-06-26,completed,4898.7,atm,4979.96
1,4533,1870,2024-03-18,completed,1663.45,atm,4979.96
2,4532,269,2024-06-03,completed,8166.0,atm,4979.96
3,17509,443,2024-11-08,completed,2903.05,atm,4979.96
4,17510,1533,2025-06-16,completed,791.35,atm,4979.96
5,4528,63,2025-09-24,completed,12632.75,atm,4979.96
6,17513,1798,2024-02-16,completed,9561.4,atm,4979.96
7,17514,1511,2025-12-25,completed,4470.0,atm,4979.96
8,4523,1724,2024-10-09,completed,4470.0,atm,4979.96
9,13198,2495,2024-01-07,completed,552.0,atm,4979.96
10,17515,2421,2025-04-09,completed,8416.35,atm,4979.96
11,17518,953,2025-11-02,completed,4658.0,atm,4979.96
12,13192,303,2024-10-20,completed,2124.8,atm,4979.96
13,8747,337,2024-04-24,completed,1526.4,atm,4979.96
14,8748,2062,2024-01-30,completed,13395.0,atm,4979.96
15,8749,2449,2025-11-15,completed,2033.0,atm,4979.96
16,17524,929,2024-04-09,completed,1656.8,atm,4979.96
17,4513,765,2025-01-29,completed,6786.0,atm,4979.96
18,8750,3,2025-12-15,completed,5944.0,atm,4979.96
19,8745,1679,2025-01-09,completed,5717.65,atm,4979.96
20,17505,1663,2025-04-17,completed,6696.65,atm,4979.96
21,4537,1594,2024-03-28,completed,12006.8,atm,4979.96
22,13200,1330,2025-11-26,completed,2656.0,atm,4979.96
23,4568,150,2025-04-08,completed,5724.25,atm,4979.96
24,4566,1492,2025-05-15,completed,12569.05,atm,4979.96
25,8724,1290,2025-07-10,completed,2875.7,atm,4979.96
26,17474,501,2025-10-03,completed,2033.0,atm,4979.96
27,8726,2239,2025-03-25,completed,6276.6,atm,4979.96
28,4561,1795,2025-01-24,completed,496.8,atm,4979.96
29,4558,1623,2024-01-15,completed,2088.0,atm,4979.96
30,4556,1777,2024-03-16,completed,4357.4,atm,4979.96
31,4555,2001,2025-08-01,completed,13111.5,atm,4979.96
32,17485,1323,2024-06-04,completed,7887.0,atm,4979.96
33,8732,2314,2024-01-08,completed,1558.0,atm,4979.96
34,4551,755,2024-11-27,completed,943.2,atm,4979.96
35,17489,1947,2025-10-06,completed,2320.0,atm,4979.96
36,13214,642,2025-03-14,completed,6406.0,atm,4979.96
37,4546,858,2024-05-30,completed,5115.7,atm,4979.96
38,17496,2222,2025-05-29,completed,9301.0,atm,4979.96
39,8737,2407,2024-01-26,completed,1847.75,atm,4979.96
40,17499,2344,2025-01-18,completed,3125.0,atm,4979.96
41,17500,1719,2024-03-23,completed,7990.35,atm,4979.96
42,8751,1989,2024-12-30,completed,7795.0,atm,4979.96
43,17530,1925,2025-12-20,completed,13553.65,atm,4979.96
44,13189,104,2024-01-19,completed,3757.5,atm,4979.96
45,4505,821,2024-10-27,completed,4992.1,atm,4979.96
46,13174,1569,2024-07-15,completed,2846.8,atm,4979.96
47,4467,2110,2024-09-23,completed,2873.0,atm,4979.96
48,13169,859,2025-07-10,completed,3125.0,atm,4979.96
49,8776,1113,2024-04-14,completed,8366.7,atm,4979.96
50,17565,529,2024-06-26,completed,5136.8,atm,4979.96
51,8777,1817,2024-06-07,completed,2420.8,atm,4979.96
52,4458,1261,2025-05-22,completed,4249.8,atm,4979.96
53,4457,933,2025-09-23,completed,9825.85,atm,4979.96
54,4456,342,2024-11-23,completed,4343.4,atm,4979.96
55,4453,766,2024-11-10,completed,7576.7,atm,4979.96
56,17575,1937,2024-10-02,completed,4627.7,atm,4979.96
57,8784,69,2025-01-19,completed,4933.3,atm,4979.96
58,17577,1486,2024-11-15,completed,4619.0,atm,4979.96
59,4444,1632,2025-06-25,completed,5896.0,atm,4979.96
60,17579,419,2025-08-11,completed,14393.0,atm,4979.96
61,13162,1419,2025-12-24,completed,2437.0,atm,4979.96
62,4439,229,2024-09-21,completed,3340.3,atm,4979.96
63,8788,994,2025-04-10,completed,8870.8,atm,4979.96
64,17586,653,2024-04-30,completed,2204.0,atm,4979.96
65,4470,321,2025-10-17,completed,12652.15,atm,4979.96
66,4569,1894,2024-06-30,completed,6661.8,atm,4979.96
67,4471,727,2025-01-28,completed,6227.0,atm,4979.96
68,4477,226,2025-04-23,completed,2471.4,atm,4979.96
69,4504,2352,2024-05-03,completed,6819.9,atm,4979.96
70,4502,257,2025-06-27,completed,2562.4,atm,4979.96
71,17536,1592,2025-03-10,completed,1931.35,atm,4979.96
72,8757,913,2025-12-27,completed,3850.0,atm,4979.96
73,13185,625,2025-05-25,completed,3368.7,atm,4979.96
74,8760,880,2024-11-02,completed,18404.7,atm,4979.96
75,13184,2138,2024-01-30,completed,12604.1,atm,4979.96
76,4491,1838,2025-12-12,completed,851.7,atm,4979.96
77,17546,797,2025-06-05,completed,1337.9,atm,4979.96
78,17547,1245,2025-10-12,completed,1507.65,atm,4979.96
79,8765,1579,2025-08-13,completed,1760.0,atm,4979.96
80,13179,1313,2025-12-03,completed,2320.0,atm,4979.96
81,13178,1122,2024-05-24,completed,1663.45,atm,4979.96
82,8768,85,2024-11-18,completed,16362.6,atm,4979.96
83,4482,343,2024-09-25,completed,2523.2,atm,4979.96
84,13177,1630,2024-09-25,completed,4352.8,atm,4979.96
