,order_id,customer_id,order_date,status,line_revenue,payment_type,payment_avg,vs_avg
0,5,714,2024-08-12,completed,13175.5,atm,4979.96,8195.54
1,6107,588,2025-03-03,completed,6745.45,atm,4979.96,1765.49
2,6109,1517,2024-12-06,completed,4990.5,atm,4979.96,10.54
3,6115,1757,2024-04-29,completed,10122.6,atm,4979.96,5142.64
4,15758,1060,2025-05-19,completed,10206.8,atm,4979.96,5226.84
5,15745,1603,2024-11-20,completed,6777.25,atm,4979.96,1797.29
6,6141,1392,2025-08-24,completed,7176.05,atm,4979.96,2196.09
7,15718,2264,2025-09-27,completed,10185.8,atm,4979.96,5205.84
8,15781,383,2025-05-08,completed,7037.25,atm,4979.96,2057.29
9,6149,129,2024-12-02,completed,6799.4,atm,4979.96,1819.44
10,6156,119,2024-04-06,completed,5212.0,atm,4979.96,232.04
11,15716,895,2025-01-29,completed,5495.8,atm,4979.96,515.84
12,15712,1634,2024-01-04,completed,9257.9,atm,4979.96,4277.94
13,6162,2472,2024-05-26,completed,9935.2,atm,4979.96,4955.24
14,6167,204,2024-02-01,completed,8433.0,atm,4979.96,3453.04
15,6171,849,2025-11-17,completed,5909.4,atm,4979.96,929.44
16,6174,2179,2025-01-16,completed,10972.9,atm,4979.96,5992.94
17,6153,2037,2025-11-04,completed,9518.5,atm,4979.96,4538.54
18,6100,2477,2025-05-29,completed,8020.1,atm,4979.96,3040.14
19,6097,2275,2024-06-19,completed,6373.55,atm,4979.96,1393.59
20,15785,1586,2024-05-25,completed,6309.0,atm,4979.96,1329.04
21,15904,1692,2024-03-04,completed,5432.8,atm,4979.96,452.84
22,6016,1945,2024-02-23,completed,12914.2,atm,4979.96,7934.24
23,15885,96,2025-02-14,completed,5700.95,atm,4979.96,720.99
24,6032,1770,2025-12-03,completed,5835.7,atm,4979.96,855.74
25,6034,2258,2025-02-01,completed,8372.0,atm,4979.96,3392.04
26,15882,2323,2025-02-09,completed,14906.1,atm,4979.96,9926.14
27,15877,1720,2025-12-09,completed,8777.25,atm,4979.96,3797.29
28,15871,2408,2024-01-11,completed,7132.4,atm,4979.96,2152.44
29,15845,1041,2025-05-19,completed,5575.0,atm,4979.96,595.04
30,15844,539,2025-05-26,completed,6687.05,atm,4979.96,1707.09
31,6068,2341,2025-11-25,completed,7536.6,atm,4979.96,2556.64
32,15834,2281,2025-03-26,completed,5341.0,atm,4979.96,361.04
33,15831,2047,2025-08-13,completed,9680.55,atm,4979.96,4700.59
34,15825,521,2024-01-15,completed,10451.3,atm,4979.96,5471.34
35,15820,1137,2025-12-12,completed,8076.0,atm,4979.96,3096.04
36,15790,864,2024-01-09,completed,14424.0,atm,4979.96,9444.04
37,15789,400,2024-07-08,completed,6198.0,atm,4979.96,1218.04
38,6175,2162,2025-05-23,completed,5730.4,atm,4979.96,750.44
39,6178,460,2025-10-14,completed,10700.8,atm,4979.96,5720.84
40,15706,2461,2025-06-21,completed,8794.2,atm,4979.96,3814.24
41,6185,52,2025-10-28,completed,6641.9,atm,4979.96,1661.94
42,6336,2351,2025-05-24,completed,14111.15,atm,4979.96,9131.19
43,6337,2208,2025-10-22,completed,9651.3,atm,4979.96,4671.34
44,6338,795,2024-03-04,completed,8341.95,atm,4979.96,3361.99
45,6341,2269,2024-10-28,completed,9509.0,atm,4979.96,4529.04
46,15518,141,2024-08-04,completed,9950.0,atm,4979.96,4970.04
47,6348,779,2024-10-28,completed,6638.6,atm,4979.96,1658.64
48,15517,2170,2025-06-18,completed,7366.3,atm,4979.96,2386.34
