,revenue,order_count,aov
0,203249.35,27,7527.75
1,157988.0,21,7523.24
2,157221.0,21,7486.71
3,157756.95,22,7170.77
4,263985.2,37,7134.74
5,124667.8,18,6925.99
6,157686.7,23,6855.94
7,171321.35,25,6852.85
8,177249.2,26,6817.28
9,176488.3,26,6788.01
10,168639.7,25,6745.59
11,212519.7,32,6641.24
12,184550.6,28,6591.09
13,183619.6,28,6557.84
14,216153.15,33,6550.1
15,97716.9,15,6514.46
16,96934.2,15,6462.28
17,148244.05,23,6445.39
18,218935.75,34,6439.29
19,206055.25,32,6439.23
20,154045.65,24,6418.57
21,249984.5,39,6409.86
22,153611.55,24,6400.48
23,166281.45,26,6395.44
24,159684.75,25,6387.39
25,184322.55,29,6355.95
26,171045.65,27,6335.02
27,176983.5,28,6320.84
28,157708.85,25,6308.35
29,157175.05,25,6287.0
30,238104.15,38,6265.9
31,193368.75,31,6237.7
32,224251.25,36,6229.2
33,149219.55,24,6217.48
34,149058.45,24,6210.77
35,247373.95,40,6184.35
36,228659.6,37,6179.99
37,203434.95,33,6164.7
38,116920.15,19,6153.69
39,159858.95,26,6148.42
40,141164.15,23,6137.57
41,147086.25,24,6128.59
42,201918.3,33,6118.74
43,110110.55,18,6117.25
44,140508.85,23,6109.08
45,170593.5,28,6092.62
46,170462.15,28,6087.93
47,109535.25,18,6085.29
48,206859.5,34,6084.1
49,158167.75,26,6083.38
50,115376.55,19,6072.45
51,151034.35,25,6041.37
52,163080.4,27,6040.01
53,186660.2,31,6021.3
54,162206.2,27,6007.64
55,138169.25,23,6007.36
56,180020.2,30,6000.67
57,143928.75,24,5997.03
58,215658.2,36,5990.51
59,155344.65,26,5974.79
60,173153.3,29,5970.8
61,149011.25,25,5960.45
62,184618.9,31,5955.45
63,172613.5,29,5952.19
64,190430.45,32,5950.95
65,130520.1,22,5932.73
66,153955.35,26,5921.36
67,159633.65,27,5912.36
68,159461.75,27,5905.99
69,153523.7,26,5904.76
70,129732.25,22,5896.92
71,211946.35,36,5887.4
72,170726.8,29,5887.13
73,170628.3,29,5883.73
74,141119.9,24,5880.0
75,88033.5,15,5868.9
76,146603.4,25,5864.14
