,week,revenue,order,aov
0,2024-01-01/2024-01-07,1034534.75,203,5096.23
1,2024-01-08/2024-01-14,964225.4,196,4919.52
2,2024-01-15/2024-01-21,983294.3,200,4916.47
3,2024-01-22/2024-01-28,966631.75,188,5141.66
4,2024-01-29/2024-02-04,1061507.1,213,4983.6
5,2024-02-05/2024-02-11,855766.9,185,4625.77
6,2024-02-12/2024-02-18,1017705.25,198,5139.93
7,2024-02-19/2024-02-25,988994.25,180,5494.41
8,2024-02-26/2024-03-03,933457.2,194,4811.64
9,2024-03-04/2024-03-10,1115828.45,208,5364.56
10,2024-03-11/2024-03-17,936535.65,194,4827.5
11,2024-03-18/2024-03-24,989711.7,196,5049.55
12,2024-03-25/2024-03-31,1037621.55,207,5012.66
13,2024-04-01/2024-04-07,932329.0,188,4959.2
14,2024-04-08/2024-04-14,887345.95,175,5070.55
15,2024-04-15/2024-04-21,834311.55,163,5118.48
16,2024-04-22/2024-04-28,1086780.05,207,5250.15
17,2024-04-29/2024-05-05,1167423.45,215,5429.88
18,2024-05-06/2024-05-12,763760.35,171,4466.43
19,2024-05-13/2024-05-19,1120536.05,219,5116.6
20,2024-05-20/2024-05-26,1005997.25,218,4614.67
21,2024-05-27/2024-06-02,1097362.85,211,5200.77
22,2024-06-03/2024-06-09,981512.4,201,4883.15
23,2024-06-10/2024-06-16,992217.75,210,4724.85
24,2024-06-17/2024-06-23,1032731.35,202,5112.53
25,2024-06-24/2024-06-30,818974.0,198,4136.23
26,2024-07-01/2024-07-07,960377.1,194,4950.4
27,2024-07-08/2024-07-14,936015.9,191,4900.61
28,2024-07-15/2024-07-21,731080.3,169,4325.92
29,2024-07-22/2024-07-28,1021893.8,191,5350.23
30,2024-07-29/2024-08-04,970397.2,186,5217.19
31,2024-08-05/2024-08-11,849759.6,173,4911.91
32,2024-08-12/2024-08-18,937758.65,193,4858.85
33,2024-08-19/2024-08-25,1035406.4,194,5337.15
34,2024-08-26/2024-09-01,1006982.95,202,4985.06
35,2024-09-02/2024-09-08,1029769.3,214,4812.01
36,2024-09-09/2024-09-15,1029036.15,200,5145.18
37,2024-09-16/2024-09-22,1084983.05,204,5318.54
38,2024-09-23/2024-09-29,1039450.3,216,4812.27
39,2024-09-30/2024-10-06,817471.8,183,4467.06
40,2024-10-07/2024-10-13,974534.65,186,5239.43
41,2024-10-14/2024-10-20,1012074.7,205,4936.95
42,2024-10-21/2024-10-27,1135828.25,220,5162.86
43,2024-10-28/2024-11-03,1051928.95,215,4892.69
44,2024-11-04/2024-11-10,1025849.45,192,5342.97
45,2024-11-11/2024-11-17,1063107.3,198,5369.23
46,2024-11-18/2024-11-24,1049490.95,218,4814.18
47,2024-11-25/2024-12-01,1008973.25,206,4897.93
48,2024-12-02/2024-12-08,819353.4,184,4453.01
49,2024-12-09/2024-12-15,902534.85,183,4931.88
50,2024-12-16/2024-12-22,894173.45,196,4562.11
51,2024-12-23/2024-12-29,1028449.2,205,5016.83
52,2024-12-30/2025-01-05,1021747.95,193,5294.03
53,2025-01-06/2025-01-12,799208.1,178,4489.93
54,2025-01-13/2025-01-19,1030999.95,189,5455.03
55,2025-01-20/2025-01-26,927803.55,198,4685.88
56,2025-01-27/2025-02-02,877320.55,176,4984.78
57,2025-02-03/2025-02-09,762646.45,170,4486.16
58,2025-02-10/2025-02-16,1036137.8,204,5079.11
59,2025-02-17/2025-02-23,1065943.55,202,5276.95
60,2025-02-24/2025-03-02,984210.85,192,5126.1
61,2025-03-03/2025-03-09,992728.1,190,5224.88
62,2025-03-10/2025-03-16,952930.75,203,4694.24
63,2025-03-17/2025-03-23,856891.3,185,4631.84
64,2025-03-24/2025-03-30,899494.95,196,4589.26
65,2025-03-31/2025-04-06,1041686.85,208,5008.11
66,2025-04-07/2025-04-13,1133409.1,210,5397.19
67,2025-04-14/2025-04-20,984131.25,189,5207.04
68,2025-04-21/2025-04-27,990599.95,207,4785.51
69,2025-04-28/2025-05-04,1092639.6,202,5409.11
70,2025-05-05/2025-05-11,948396.0,180,5268.87
71,2025-05-12/2025-05-18,947264.4,183,5176.31
72,2025-05-19/2025-05-25,992947.1,202,4915.58
73,2025-05-26/2025-06-01,1002997.45,197,5091.36
74,2025-06-02/2025-06-08,935782.95,184,5085.78
75,2025-06-09/2025-06-15,982124.7,205,4790.85
76,2025-06-16/2025-06-22,997142.8,198,5036.07
77,2025-06-23/2025-06-29,843707.05,180,4687.26
78,2025-06-30/2025-07-06,944254.6,175,5395.74
79,2025-07-07/2025-07-13,1050529.2,209,5026.46
80,2025-07-14/2025-07-20,1115624.4,189,5902.77
81,2025-07-21/2025-07-27,843872.5,172,4906.24
82,2025-07-28/2025-08-03,1062242.85,218,4872.67
83,2025-08-04/2025-08-10,963995.5,200,4819.98
84,2025-08-11/2025-08-17,916204.15,200,4581.02
85,2025-08-18/2025-08-24,916117.95,196,4674.07
86,2025-08-25/2025-08-31,1031979.75,209,4937.7
87,2025-09-01/2025-09-07,883783.55,181,4882.78
88,2025-09-08/2025-09-14,959268.5,189,5075.49
89,2025-09-15/2025-09-21,985154.05,203,4852.98
90,2025-09-22/2025-09-28,1151469.45,205,5616.92
91,2025-09-29/2025-10-05,986501.55,198,4982.33
92,2025-10-06/2025-10-12,923869.05,184,5021.03
93,2025-10-13/2025-10-19,857548.9,170,5044.41
94,2025-10-20/2025-10-26,1046826.0,209,5008.74
95,2025-10-27/2025-11-02,967985.55,188,5148.86
96,2025-11-03/2025-11-09,796075.0,180,4422.64
97,2025-11-10/2025-11-16,816387.35,186,4389.18
98,2025-11-17/2025-11-23,995112.35,190,5237.43
99,2025-11-24/2025-11-30,999806.85,201,4974.16
100,2025-12-01/2025-12-07,920438.2,205,4489.94
101,2025-12-08/2025-12-14,1071351.5,217,4937.1
102,2025-12-15/2025-12-21,978010.35,197,4964.52
103,2025-12-22/2025-12-28,960502.55,175,5488.59
104,2025-12-29/2026-01-04,502217.9,88,5707.02
